project_id,text,simple_md5,sector,purpose,act_code1,act_code2,act_code3,act_code4,act_code5,act_code6,act_code7,act_code8,act_code9,act_code10,act_code11,act_code12,act_code13,act_code14,act_code15,act_code16,act_code17,act_code18,act_code19,act_code20,act_code21,act_code22,act_code23,act_code24,act_code25,act_code26,act_code27,act_code28,act_code29,act_code30,act_code31,act_code32,act_code33
40216814,Assistance for educational project Islamic Development Bank (ISDB),ad788bcada0b0390e50cba82514b1606,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60978029,SCHULE IN URGUNCHIKHANA Germany SOCIAL/WELFARE SERVICES,ae46ac5afb52f5b272e7570e299d19a2,111,11105,11105.01,16010.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86394265,SCHOLARSHIP Sweden ECO & DVPT: SCHOLARSHIP,ae8543c36cf292928b47f8d9d1189284,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40160566,Jubilee School Development Project Arab Fund for Economic & Social Development (AFESD),aed5477b6c0e790d6cc2cd00671683bf,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93529717,The Community Learning Center project (the channel) of the country. Thailand ?????????????????????????????????? (???) ??????????????????? Type: Development Project. Sector: Education. Project beneficiaries (total): Vietnam. Associated Financing ('000 Thai Baht): Other: .,b008659b352eb6dd825e9f0045b5f299,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965763,Student Loan Scheme (Fifth Loan) Caribbean Development Bank (CDB) To the Government of the BVI to assist it in providing funding to the Scholarship Trust Fund Board for onlending to students through the Scholarship Trust Fund Board and the Development Bank of the Virgin Islands. The project is aimed at improving the stock of human capital to complement private and public sector investments.,b008cef963a1d68e12b852a3dd2b3435,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40260205,Sierra Leone EFA FTI Program World Bank - Managed Trust Funds,b258ef23db178187d11a54fd09959a59,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117892574,Education interventions for out of school children in humanitarian response and United Nations Children`s Fund (UNICEF) EDUCATION INTERVENTIONS FOR OUT OF SCHOOL CHILDREN IN HUMANITARIAN RESPONSE AND Education interventions for out of school children in humanitarian response and,b3ab443b4526ab881c3dfe7a0e5341e5,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000779,"Primary Education Inter-American Development Bank (IADB) The project is designed to improve the quality of primary education in Guyana by upgrading both the academic and physical conditions of the country's primary school system. The program has three major components: äó¢Human Resources Development: To train approximately 1,000 teachers in basic classroom management skills and the use of curriculum materials, to improve teacher training at the Cyril Potter College of Education, and to provide in-service training of educational administrators and supervisors; äó¢Curriculum Development and Educational Technology: To support the development of the National Center for Educational Resources Development as the core institution in the development of curricula, teaching materials, testing and in-service teacher training; to produce and distribute textbooks,to acquire equipment and materials for the country's 415 primary schools, and to recruit some 121 additional teachers and principals; äó¢Physical Infrastructure: To build 27 new schools to replace existing ones, and to rehabilitate three additional schools. The technical cooperation will be used to contract consultants to help strengthen key areas of administration and supervision at the Ministry of Education. The deficiencies of primary education in Guyana are reflected in the fact that 40 percent of the teachers are not considered academically qualified, that school buildings are inadequate and obsolete, classes are crowded, and students often lack access to teaching materials. By improving the quality of primary education, the project is expected also to increase productivity in the workplace and the home and to raise literacy, health, nutritional, communications and community participation skills.",b6a9bb7aefda312902f21bb3528b429e,112,11220,11110.06,11220.03,11220.05,11220.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424615,"Education Project (02) World Bank - International Development Association (IDA) Education (Primary education): 100 The project seeks to improve the quality and efficiency of rural primary education by providing adequate school facilities, organized under an improved nuclearization system, appropriately trained teachers and administrators, and relevant curricula and teaching materials. It will also increase the supply of critically needed agricultural, forestry, and livestock professionals and technicians. About 35,000 children, 10,000 overage students and 15,000 out-of-school youths and adults would attend project rural schools in 1982. The project would contribute to making its beneficiaries more productive participants in Honduras' economic development process. Although unwillingness of qualified teachers and administrators to go to rural areas and delays due to community participation in school construction are potential risks, they are considered small in view of the project provisions for increasing teacher salaries for double shift work and for supervision of construction activities by the Education Ministry's School Construction Directorate.",bb4a23f87241efb29d5684ab6008c998,112,11220,11110.06,11220.02,11220.03,11220.05,11220.06,11230.02,11330.01,11330.02,31182.03,31281.01,31181.01,,,,,,,,,,,,,,,,,,,,,,
2420637,"Basic Education Quality Improvement Project World Bank - International Bank for Reconstruction and Development (IBRD) Education (Primary education): 58, Education (Tertiary education): 22, Public Administration, Law, and Justice (Sub-national government administration): 20 The overall goal of the Minas Gerais Basic Education Quality Improvement Project is to improve educational attainment in the State of Minas Gerais, as defined by significant increases in student learning and graduation from elementary school. The project will support improvements in: a) system - wide management through student assessment, educational monitoring, and operational studies to foster information-based decision making; b) school administration through systematic school planning (including school development grants), school leadership development, and provision of office technology systems; c) teaching competence through increased access of public school teachers to training in classroom management, enhancement of curriculum development, and evaluation of classroom interventions; d) availability of learning materials through regular provision of books and other learning aids to all students in public classrooms; and e) facility management in support of classroom construction and rational school space utilization necessary to ensure that all pupils attending state schools have access to the locally-standard four and a half hours of schooling per day. To achieve these objectives, the project will finance educational materials, school equipment and furniture, vehicles, civil works, technical assistance (including training), and operational expenses. The project will also finance project management costs of about US $4.4 million equivalent.",bf58f4285905be961704728463013567,112,11220,11110.06,11182.01,11220.02,11220.03,11220.04,11220.05,11220.06,,,,,,,,,,,,,,,,,,,,,,,,,,
40643194,"Basic Education Project World Bank - Managed Trust Funds DESCRIPTIONComponent (1): Enhancing Access to Basic Education (US$5.006 million)Œæ will support the rehabilitation, additions of classrooms, offices or teachersäó» housing to existing schools, and the construction of new schools in selected localities in the four states. The component will focus on areas that will boost girlsäó» education by using criteria that favors areas where interventions will enhance girlsäó» access. The physical upgrading of these education facilities, as well as contributing to motivating teachers to stay in remote areas by constructing or upgrading some teacher housing facilities should have a positive impact on retention rates on the medium and long term.ŒæThree localities in each state (except for North Kordufan where the component will work in only two localities) have been identified. The schools where the component will work have been finalized. It is important to note that interventions will not necessarily be in the form of a full school construction.Œæ In some cases, classrooms will be added, teachers housing, toiletsäó_etc. A full list of the types of interventions in every school has been compiled.Œæ Component (2): Contributing to enhancing the quality of basic education (US$ 7.49 million). Under this component, the project will have three main sub-components:Œæ Component 2:1.Œæ Curriculum review (US$0.325million). The first sub-component of component two will support two activities. Firstly, funds will be provided for the evaluation of the basic education curriculum in the light of the CPA. As the time frame for this project is short, funding will be provided for the initial steps in this process, which is to review the existing curriculum for each subject and identify the extent of changes necessary to include the multi religious, multi ethnic and multilingual reality of south Sudan. Eventually, based on this review, the government of Sudan will develop a draft national curriculum framework that takes into account the post conflict environment in Sudan for discussion by both north and south Sudan.This sub-component will support the evaluation of the existing curriculum by establishing subject specific committees and a steering committee to head this effort. . Support will be provided for producing reports outlining changes in the curriculum that will be required to address the post conflict environment in Sudan for each subject area. Secondly, the component will provide support for a forum to discuss the relevance of the pre-service teacher training curriculum. According to the policy introduced in the early 1990äó»s, primary school teachers in Sudan are expected to have a Bachelor of Education (B.ed) degree. The curriculum used by the Faculties of Education to train teachers in the B.ed program is inappropriate for instruction in primary education. Finance will be provided for a workshop to bring together deans of FoEs, professors in education, primary school teachers, state federal officials, and experts in basic education and teacher training. This group will discuss the perceived strengths and weaknesses of the pre-service B.ed curriculum and outline a process for developing a new pre-service training curriculum focused specifically on primary education Component 2:2Œæ In-service teacher training (US$3.097million).Œæ The second subcomponent of the second component will provide in-service training in Arabic, English, mathematics, and core programs to about 12,300 primary school teachers in the four states. Training modules in the four subjects were developed by the äóìIn-service Education Training Institute (ISETI)äóù of the MoGE. The modules are organized with about four hours of training per day. The purpose of the in-service training is to improve the knowledge and abilities of teachers to analyze the curriculum and to better instruct students in listening, reading, speaking and writing in the subject areas. Training is to be provided to teachers with only secondary education as their subject content knowledge is weak and university trained teachers without significant exposure to instructing young children. The length of the training varies from 15 to 21 days across the states. A pre and post training questionnaire will be administered to understand and measure the effectiveness of the training. Component 2-3Œæ Physical upgrading to a number of TTIs in the four states (US$4.067million) to increase the capacity of training and enhance the learning environment in these institutes. The TTIs to be supported by the project have been identified. Those are AlDalang TTI in South Kordufan (rehabilitations and additions), Ganoub Al-Roseirus TTI in Blue Nile (new), Al-Obied TTI in North Kordufan (additions and rehabilitation), and Port Sudan TTI in Red Sea State (new). These institutes are the main and only in-service teachers training institutes in the states. They are usually staffed with a director and a teaching staff or around 6-8 trainers. The trainersäó» force in each state includes more trainers who usually have other jobs in the education system (like instructors or head teachers). Those are normally mobilized whenever a training event is organized. These trainers are trained by the ISETI in Khartoum and are familiar with the training modules available, each in his/her subject matter. Component 3: Monitoring, Evaluation and Project Management (US$2.35million). This component will support a mechanism to ensure that a baseline is collected in the areas of interventions, and projectäó»s monitoring and outcome indicators are assessed. The component will also finance the project coordination teams at the central and statesäó» level as well as operational costs related to project implementation. Operational Costs. The component will also finance the implementation structures at the central and statesäó» levels. Those financed will all be out of the public service and recruited on competitive basis. Each state has its share of the operations cost added to its total budget. Operational costs will also cover the management costs of the CDF and the Engineering Office in Red Sea States, operational travel expenses and the costs of workshops during the project. A compensation structure for project staff will be developed as part of the OPM for the project.",c64444bd9bc05f9260a4170b25e59776,112,11220,11110.06,11120.03,11220.02,11220.03,11220.04,11220.06,42010.05,,,,,,,,,,,,,,,,,,,,,,,,,,
2435997,"EL SALVADOR-BASIC & OCCUPNL SKILLS TRNG United States LOAN, GRANT AND TECHNICAL ASSISTANCE (TA) PROVIDED TO THE GOVT OF EL SALVADOR (GOES) TO DEVELOP AND EXPAND A SYSTEM OF BASIC AND OCCUPATIONAL SKILLS TRAINING FOR EL SALVADOR'S URBAN AND RURAL POOR. PROJECT COMPONENTS INCLUDE: 1) ASSISTINGGOES DIRECTORATE OF ADULT AND PERMANENT EDUCATION (DAPE) TO DEVELOP A COMMUNITY NEED SURVEY (CNS) SYSTEM TO DETERMINE JOB SKILLS NEEDED BY COMMUNITY PERSONS AND BY SMALL-SCALE ENTERPRISES; 2) DEVELOPING RELEVANT COURSES WITH MODERN TEACHINGTECHNIQUES; 3) PROVIDING PERSONNEL TRAINING FOR ADMINISTRATORS AND TEACHERS TO INCLUDE IN-SERVICE TRAINING FOR PROJ-RELATED PERSONNEL AND PARTICIPANT TRAINING FOR ADVANCE STUDY ABROAD; 4) IMPROVING THE FACILITIES FOR DELIVERING ADULT OCCUPATIONAL SKILLS TRAINING THROUGH SCHOOL RENOVATION (CREATING 5URBAN CENTERS AND 13 SPECIALIZED SHOPS) AND MODERN EQUIPMENT; IN ADDITION, LOCAL EDUCATION/TRADE COUNCILS (ETC) WILL TRANSMIT TO COMMUNITY TRAINERS THE SKILLS NEEDS OF SMALL-SCALE INDUSTRIES TO ENSURE ADEQUATE AND APPROPRIATE TRAINING; 5) PROVIDING GUIDANCE SERVICES INCLUDING INITIAL OCCUPATIONAL COUNSELING TO APPLICANTS, JOB PLACEMENT ASSISTANCE AND FOLLOW-UP; CAREER BOOKLETS WILL ALSO BE PRODUCED, JOB INTERVIEWS ARRANGED, AND A GRADUATE TRACER SYSTEM EXPANDED. BENEFICIARIES WILL BE THE URBAN AND RURAL POOR AND GOES EDUCATIONAL OFFICIALS. DAPE WILL IMPLEMENT THE PROJECT. MOE'S EDUCATIONAL MATERIALS PRODUCTION SERVICE (CENPROME) WILL BE RESPONSIBLE FOR THE PROCUCTION OF MUCH OF THE EDUCATIONAL MATERIALS DEVELOPMENT BY DAPE. MOE'S DEPARTMENT OF EDUCATIONAL ARCHITECTURE(DAE) WILL DEVELOP SCHOOL DESIGNS AND CONTRACT AND SUPERVISERENOVATIONS. AID FUNDS TA FOR RESEARCH/EVALUATION/POLICY ADMINISTRATION; CURRICULUM DESIGN, INSTRUCTIONAL TECHNOLOGY, MATERIALS PRODUCTION, SPECIAL MODULES, PARTICIPANT AND IN-SERVICE TRAINING. GOES FUNDING 52.9% OF THE BUDGET PAYS FOR PERSONNEL, OPERATIONAL EXPENSES, EQUIPMENT AND SUPPLIES, SPECIAL SERVICES, MAINTENANCE, FACILITIES, RENOVATION AND OTHER COSTS.",d29bf2e0ff8650c901bedd892d1820af,112,11230,11110.06,11120.02,11120.05,11130.02,11182.01,11230.02,32181.01,11110.02,16020.05,,,,,,,,,,,,,,,,,,,,,,,,
2419038,"Second Primary Education Project World Bank - International Development Association (IDA) Education (Primary education): 75, Education (Tertiary education): 19, Public Administration, Law, and Justice (Sub-national government administration): 2, Public Administration, Law, and Justice (Central government administration): 2, Health and other social services (Health): 2 The Second Primary Education Project for Nigeria assists the Government in improving its primary education program to prepare the groundwork for universal basic education by upgrading the quality of primary education, improving resource allocation, increasing enrollments, strengthening institutions, and facilitating future planning. There are five project components. The first reinforces human resources capacity by training school teachers, school administrators, state and local education agency staff, procurement and financial management staff, and television production staff. The second component improves the school environment by setting up focus schools provided with furniture and equipment whose attendance will be determined by local communities; and by funding self-help projects to promote increased access, equity, and quality. The third component improves the quality and availability of curriculum materials. The fourth component develops an enhanced information base for decisionmaking to lay the groundwork for universal basic education. The fifth component uses the mass media to increase HIV/AIDS awareness among school staff, children, and communities.",d2a398051859adfd6605ca557ee2e546,112,11220,11110.06,11220.02,11220.03,11220.05,11220.06,13040.02,16010.1,,,,,,,,,,,,,,,,,,,,,,,,,,
